MsgID.LOCAL_VELOCITY,43.0360000,1.3233812,0.6206815,0.0435238
MsgID.GLOBAL_POSITION,0.0000000,-122.3974291,37.7924933,4.9830000
MsgID.LOCAL_VELOCITY,0.0000000,1.6000000,0.7700000,0.0100000
MsgID.LOCAL_POSITION,43.2860000,1.4872198,1.8534130,-4.9836874
MsgID.LOCAL_VELOCITY,43.2860000,1.6072708,0.7736545,0.0195570
MsgID.GLOBAL_POSITION,0.0000000,-122.3974265,37.7924968,4.9820000
MsgID.LOCAL_VELOCITY,0.0000000,1.2600000,0.7400000,0.0400000
MsgID.LOCAL_POSITION,43.5350000,1.8709073,2.0803397,-4.9821401
MsgID.LOCAL_VELOCITY,43.5350000,1.2605540,0.7418935,0.0466921
MsgID.GLOBAL_POSITION,0.0000000,-122.3974256,37.7924988,4.9680000
MsgID.LOCAL_VELOCITY,0.0000000,0.8600000,1.1800000,-0.0400000
MsgID.LOCAL_POSITION,43.7860000,2.0936487,2.1679683,-4.9685760
MsgID.LOCAL_VELOCITY,43.7860000,0.8662065,1.1845511,-0.0414485
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974232,37.7925000,4.9710000
MsgID.LOCAL_VELOCITY,0.0000000,1.3000000,1.3500000,-0.0800000
MsgID.LOCAL_POSITION,44.0370000,2.2329361,2.3772860,-4.9710293
MsgID.LOCAL_VELOCITY,44.0370000,1.3014606,1.3537127,-0.0804865
MsgID.GLOBAL_POSITION,0.0000000,-122.3974179,37.7925030,4.9610000
MsgID.LOCAL_VELOCITY,0.0000000,1.4100000,1.4800000,-0.0700000
MsgID.LOCAL_POSITION,44.2870000,2.5585256,2.8483341,-4.9611859
MsgID.LOCAL_VELOCITY,44.2870000,1.4134609,1.4811394,-0.0751744
MsgID.GLOBAL_POSITION,0.0000000,-122.3974140,37.7925065,4.9580000
MsgID.LOCAL_VELOCITY,0.0000000,1.0500000,1.7700000,-0.1600000
MsgID.LOCAL_POSITION,44.5370000,2.9500287,3.1986682,-4.9588385
MsgID.LOCAL_VELOCITY,44.5370000,1.0565867,1.7765125,-0.1639637
MsgID.GLOBAL_POSITION,0.0000000,-122.3974100,37.7925094,4.9690000
MsgID.LOCAL_VELOCITY,0.0000000,0.7100000,1.6100000,-0.1400000
MsgID.LOCAL_POSITION,44.7870000,3.2688589,3.5477898,-4.9692550
MsgID.LOCAL_VELOCITY,44.7870000,0.7193269,1.6143800,-0.1407548
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974040,37.7925113,4.9680000
MsgID.LOCAL_VELOCITY,0.0000000,1.0300000,1.4400000,-0.1400000
MsgID.LOCAL_POSITION,45.0370000,3.4846838,4.0859427,-4.9683180
MsgID.LOCAL_VELOCITY,45.0370000,1.0303375,1.4490346,-0.1430576
MsgID.GLOBAL_POSITION,0.0000000,-122.3973995,37.7925137,4.9760000
MsgID.LOCAL_VELOCITY,0.0000000,1.0400000,1.5100000,-0.0900000
MsgID.LOCAL_POSITION,45.2870000,3.7465820,4.4862018,-4.9764428
MsgID.LOCAL_VELOCITY,45.2870000,1.0455879,1.5173006,-0.0989449
MsgID.GLOBAL_POSITION,0.0000000,-122.3973958,37.7925154,4.9810000
MsgID.LOCAL_VELOCITY,0.0000000,1.0000000,1.2100000,-0.0300000
MsgID.LOCAL_POSITION,45.5380000,3.9416184,4.8142743,-4.9815221
MsgID.LOCAL_VELOCITY,45.5380000,1.0055735,1.2161274,-0.0388279
MsgID.GLOBAL_POSITION,0.0000000,-122.3973931,37.7925176,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,1.5000000,0.7400000,-0.0100000
MsgID.LOCAL_POSITION,45.7880000,4.1793718,5.0516977,-4.9861398
MsgID.LOCAL_VELOCITY,45.7880000,1.5088230,0.7462720,-0.0195044
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3973918,37.7925230,4.9860000
MsgID.LOCAL_VELOCITY,0.0000000,1.5300000,0.4100000,0.0300000
MsgID.LOCAL_POSITION,46.0380000,4.7814460,5.1728530,-4.9866490
MsgID.LOCAL_VELOCITY,46.0380000,1.5383049,0.4159063,0.0394904
MsgID.GLOBAL_POSITION,0.0000000,-122.3973881,37.7925258,4.9840000
MsgID.LOCAL_VELOCITY,0.0000000,1.1900000,0.8200000,0.0400000
